"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","POP","TOT","MLN_PER","A","2009",33.628895,
"CAN","POP","TOT","MLN_PER","A","2010",34.004889,
"CAN","POP","TOT","MLN_PER","A","2011",34.339328,
"CAN","POP","TOT","MLN_PER","A","2012",34.714222,
"CAN","POP","TOT","MLN_PER","A","2013",35.082954,
"CAN","POP","TOT","MLN_PER","A","2014",35.437435,
"CAN","POP","TOT","MLN_PER","A","2015",35.702908,
"CAN","POP","TOT","MLN_PER","A","2016",36.109487,
"CAN","POP","TOT","MLN_PER","A","2017",36.545236,
"CAN","POP","TOT","MLN_PER","A","2018",37.065084,
"CAN","POP","TOT","MLN_PER","A","2019",37.60123,
"CAN","POP","TOT","MLN_PER","A","2020",38.037204,
"CAN","POP","TOT","MLN_PER","A","2021",38.246108,
